id,Booking_status,Probability
42100,0,0.080732726
42101,0,0.025744114
42102,0,0.26587084
42103,0,0.22708446
42104,1,0.5134219
42105,1,0.503055
42106,1,0.5904754
42107,1,0.7474018
42108,0,5.175026e-08
42109,1,0.5011145
42110,1,0.6921494
42111,0,0.3203494
42112,0,0.40818515
42113,0,0.12943783
42114,0,0.32058194
42115,1,0.83031684
42116,0,0.04439303
42117,0,0.26096457
42118,1,0.8801956
42119,1,0.8554912
42120,1,0.88478196
42121,0,0.15942016
42122,0,0.008142157
42123,1,0.5493188
42124,1,0.80060446
42125,0,0.001370276
42126,0,3.2762414e-34
42127,0,0.0061463797
42128,0,0.34435514
42129,1,0.81123227
42130,1,0.8824291
42131,1,0.60876507
42132,0,0.38420013
42133,1,0.97345227
42134,0,0.4273709
42135,0,1.932042e-14
42136,0,0.034787487
42137,1,0.53143364
42138,1,0.62761444
42139,1,0.85841554
42140,0,0.004906488
42141,0,0.30812636
42142,1,0.70647913
42143,1,0.89376
42144,0,0.10080432
42145,1,0.86753285
42146,0,0.051884662
42147,1,0.8945257
42148,1,0.582213
42149,0,0.34964687
42150,0,0.3299591
42151,1,0.73261213
42152,1,0.7660128
42153,0,0.13760296
42154,1,0.5408026
42155,1,0.5056562
42156,1,0.55776787
42157,0,0.028082129
42158,0,0.2995524
42159,1,0.7946451
42160,1,0.68811494
42161,0,1.0214038e-06
42162,0,0.039683435
42163,0,0.03675504
42164,1,0.7578905
42165,0,0.3368476
42166,1,0.82700294
42167,0,1.0619775e-08
42168,1,0.7396292
42169,1,0.51015323
42170,0,0.01581396
42171,0,0.07699819
42172,0,0.4003323
42173,1,0.84186023
42174,0,0.13044186
42175,0,0.29603228
42176,1,0.89251816
42177,0,0.15852942
42178,0,0.03314003
42179,1,0.8753675
42180,1,0.7303557
42181,0,0.45917442
42182,1,0.73445606
42183,0,0.43895182
42184,0,0.09095556
42185,0,0.17392997
42186,0,0.2108815
42187,0,0.35658434
42188,0,0.02554983
42189,0,0.16107447
42190,0,0.32308543
42191,0,0.41370046
42192,0,0.29565465
42193,0,0.30444062
42194,0,0.32137847
42195,1,0.90201503
42196,1,0.8538055
42197,0,0.46010128
42198,1,0.59837633
42199,1,0.5542604
42200,1,0.60515094
42201,1,0.7099702
42202,1,0.5438507
42203,0,0.27399933
42204,1,0.783482
42205,0,0.20027544
42206,0,0.008490958
42207,1,0.7647181
42208,0,0.035451453
42209,0,0.36516687
42210,0,0.29379663
42211,0,0.26642466
42212,0,0.35774928
42213,1,0.8657762
42214,1,0.8237683
42215,0,0.46549666
42216,1,0.6097367
42217,0,0.17571336
42218,0,0.023916405
42219,0,0.14659405
42220,0,0.47827518
42221,1,0.75185233
42222,0,0.48208806
42223,0,0.12543914
42224,1,0.88740456
42225,1,0.7518552
42226,1,0.8783058
42227,0,0.058651455
42228,0,0.47652417
42229,0,0.093349524
42230,0,0.3171439
42231,1,0.7197291
42232,1,0.91794574
42233,0,0.17287385
42234,1,0.9328863
42235,0,0.14890565
42236,0,0.040725533
42237,1,0.7704199
42238,0,0.3043915
42239,0,0.16641879
42240,1,0.9263335
42241,1,0.65348506
42242,0,0.12265508
42243,1,0.9088638
42244,0,0.33598316
42245,1,0.6552057
42246,1,0.92228615
42247,1,0.8329279
42248,0,0.42109686
42249,1,0.8785082
42250,0,0.47864816
42251,0,0.2518766
42252,1,0.81308466
42253,1,0.7503976
42254,0,0.06719402
42255,0,0.09720308
42256,1,0.64748013
42257,1,0.6576869
42258,0,0.25369462
42259,1,0.72631973
42260,1,0.7554421
42261,1,0.6744944
42262,1,0.85618544
42263,1,0.93170846
